nro;altitude;country;county;latitude;localname;abs(longitude);municipality;res_org;treespecies
166181;270;Sweden;Västerbottens län;64.68;Lyckan;18.51;Lycksele;SLU;,Pinus sylvestris,
166182;240;Sweden;Kronobergs län;56.88;Kosta;15.39;Lessebo;SLU;,Pinus sylvestris,
166185;190;Sweden;Västerbottens län;64.29;Lund;19.6;Vindeln;SLU;,Pinus sylvestris,
166186;145;Sweden;Västerbottens län;64.12;Rödålund;19.91;Robertsfors;SLU;,Pinus sylvestris,
166190;415;Sweden;Norrbottens län;67.03;Ätnarova FP;20.43;Gällivare;SLU;,Pinus sylvestris,
166191;240;Sweden;Dalarnas län;60.9;Siljansfors FP;14.38;Mora;SLU;,Pinus sylvestris,
166192;300;Sweden;Västerbottens län;64.15;Kulbäckslidens FP;19.6;Vindeln;SLU;,Pinus sylvestris,
166194;;Sweden;Norrbottens län;0;;0;Arjeplog;SLU;,Pinus sylvestris,Picea abies,
166195;;Sweden;Norrbottens län;0;;0;Arjeplog;SLU;,Pinus sylvestris,Picea abies,
166196;460;Sweden;Norrbottens län;67.06;Ätnarova FP;20.3;Gällivare;SLU;,Pinus sylvestris,Picea abies,Pinus contorta,Larix sibirica,Picea mariana,
166197;450;Sweden;Norrbottens län;67.08;Ätnarova FP;20.37;Gällivare;SLU;,Pinus sylvestris,Picea abies,Pinus contorta,Larix sibirica,Picea mariana,
166199;420;Sweden;Västerbottens län;64.66;Norrvik;17.72;Vilhelmina;SLU;,Pinus sylvestris,
166200;250;Sweden;Västerbottens län;64.68;Brännforsliden;19.37;Vindeln;SLU;,Pinus sylvestris,
166201;250;Sweden;Västerbottens län;64.68;Brännforsliden;19.37;Vindeln;SLU;,Pinus sylvestris,
166202;240;Sweden;Västerbottens län;64.27;;18.83;Långsele;SLU;,Pinus sylvestris,
166203;250;Sweden;Västernorrlands län;63.97;Motjärn;18.29;Örnsköldsvik;SLU;,Pinus sylvestris,
166204;240;Sweden;Västernorrlands län;63.92;Flärken;18.26;Örnsköldsvik;SLU;,Pinus sylvestris,
166205;250;Sweden;Västernorrlands län;63.86;Aspsele;18.45;Örnsköldsvik;SLU;,Pinus sylvestris,
166206;390;Sweden;Västernorrlands län;63.76;Rötjärn;18.34;Örnsköldsvik;SLU;,Pinus sylvestris,
166207;175;Sweden;Västernorrlands län;63.57;Klocken;17.8;Örnsköldsvik;SLU;,Pinus sylvestris,
166217;400;Sweden;Värmlands län;60.5;Filphus;12.86;Torsby;SLU;,Pinus contorta,Pinus sylvestris,
166218;50;Sweden;Västernorrlands län;62.95;Öds skog;17.77;Kramfors;SLU;,Pinus contorta,Pinus sylvestris,
166219;420;Sweden;Jämtlands län;62.62;Bensjön;15.47;Bräcke;SLU;,Pinus contorta,Pinus sylvestris,
166221;300;Sweden;Gävleborgs län;61.84;Klampenborg;15.42;Ljusdal;SLU;,Pinus contorta,Pinus sylvestris,
166226;120;Sweden;Örebro län;59.14;Skäggebol;14.47;Degerfors;SLU;,Pinus contorta,Pinus sylvestris,
166227;95;Sweden;Örebro län;59.07;Pålsboda;15.32;Kumla;SLU;,Pinus contorta,Pinus sylvestris,
166236;370;Sweden;Jämtlands län;64.58;Kycklingvattnet;14.14;Strömsund;SLU;,Pinus contorta,Pinus sylvestris,
166239;450;Sweden;Jämtlands län;63.43;Björkvattnet;16.06;Strömsund;SLU;,Pinus contorta,Pinus sylvestris,
166240;215;Sweden;Värmlands län;60.15;Noreberg;13.52;Hagfors;SLU;,Pinus contorta,Pinus sylvestris,
166241;110;Sweden;Östergötlands län;58.72;Elsebo;16.26;Norrköping;SLU;,Pinus contorta,Pinus sylvestris,
166242;215;Sweden;Jönköpings län;57.59;Mokvarn;14.22;Vaggeryd;SLU;,Pinus contorta,Pinus sylvestris,
166243;400;Sweden;Värmlands län;60.5;Filphus;12.86;Torsby;SLU;,Pinus contorta,Pinus sylvestris,
166244;400;Sweden;Värmlands län;60.5;Filphus;12.86;Torsby;SLU;,Pinus contorta,Pinus sylvestris,
166247;30;Sweden;Västerbottens län;63.56;Bärmyran;19.63;Nordmaling;SLU;,Pinus sylvestris,
166249;150;Sweden;Kronobergs län;56.87;Förarp 1;14.1;Ljungby;SLU;,Pinus sylvestris,
166250;150;Sweden;Kronobergs län;56.86;Förarp 2;14.09;Ljungby;SLU;,Pinus sylvestris,
166251;170;Sweden;Kronobergs län;56.54;Karsemåla;14.56;Värnamo;SLU;,Pinus sylvestris,
166268;90;Sweden;Västerbottens län;63.64;Toböle;19.28;Nordmaling;SLU;,Pinus contorta,Pinus sylvestris,
166279;485;Sweden;Värmlands län;60.82;Knarten;13.02;Torsby;SLU;,Pinus sylvestris,
166280;470;Sweden;Västernorrlands län;62.43;Aspåsen;15.78;Ånge;SLU;,Pinus sylvestris,
166281;400;Sweden;Västernorrlands län;62.33;Stormörtsjökullen;16.13;Sundsvall;SLU;,Pinus sylvestris,
166283;270;Sweden;Västerbottens län;64.14;Kulbäckslidens FP;19.59;Vindeln;SLU;,Pinus contorta,Pinus sylvestris,
166284;510;Sweden;Västerbottens län;65.59;Gippervare;17.19;Sorsele;SLU;,Picea abies,Abies lasiocarpa,Abies sibirica,Picea mariana,Pinus sylvestris,Pinus contorta,
166293;175;Sweden;Jönköpings län;57.39;Stensmossen;13.12;Värnamo;SLU;,Pinus contorta,Pinus sylvestris,Picea mariana,
